PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;LONGITUD;LATITUD
Araba/Álava;Alegría-Dulantzi;2960;1994,5872;-2,51243731;42,83981158
Araba/Álava;Amurrio;10281;9629,68;-3,00007326;43,05427776
Araba/Álava;Aramaio;1431;7302,1;-2,56540037;43,05119653
Araba/Álava;Artziniega;1810;2728,73;-3,12791718;43,12084358
Araba/Álava;Armiñón;235;1297,27;-2,87183475;42,72326199
Araba/Álava;Arratzua-Ubarrundia;1031;5755,98;-2,63878816;42,89116171
Araba/Álava;Asparrena;1637;6533,64;-2,31670754;42,88968768
Araba/Álava;Ayala/Aiara;2921;14096,94;-3,04306746;43,07768283
Araba/Álava;Baños de Ebro/Mañueta;296;950,39;-2,67863583;42,52925602
Araba/Álava;Barrundia;914;9742,34;-2,49407452;42,91537538
Araba/Álava;Berantevilla;452;3574,75;-2,85971414;42,68227191
Araba/Álava;Bernedo;560;13048,2;-2,49825439;42,62676989
Araba/Álava;Campezo/Kanpezu;1094;8536,0875;-2,35207693;42,66971209
Araba/Álava;Zigoitia;1822;10209,12;-2,73033002;42,96210609
Araba/Álava;Kripan;176;1251,599;-2,51621636;42,59082439
Araba/Álava;Kuartango;421;8431,96;-2,88438243;42,87006411
Araba/Álava;Elburgo/Burgelu;629;3209,3031;-2,545933;42,850282
Araba/Álava;Elciego;971;1625,58;-2,61723872;42,51420738
Araba/Álava;Elvillar/Bilar;316;1750,2228;-2,54441267;42,56842577
Araba/Álava;Iruraiz-Gauna;537;4712,8628;-2,475996232;42,83131017
Araba/Álava;Labastida/Bastida;1538;3810,73;-2,793199;42,590217
Araba/Álava;Lagrán;175;4562,02;-2,58423377;42,62621464
Araba/Álava;Laguardia;1483;8093,55;-2,58411693;42,55236655
Araba/Álava;Lanciego/Lantziego;724;2425,3;-2,51278162;42,5624416
Araba/Álava;Lapuebla de Labarca;870;605;-2,57209001;42,49441468
Araba/Álava;Leza;217;992,2543;-2,63459428;42,56469687
Araba/Álava;Laudio/Llodio;17906;3773,43;-2,96256495;43,1425188
Araba/Álava;Arraia-Maeztu;804;12310,7942;-2,444299;42,738527
Araba/Álava;Moreda de Álava/Moreda Araba;216;867,1106;-2,40841718;42,52479167
Araba/Álava;Navaridas;200;891,6398;-2,62479544;42,5450594
Araba/Álava;Okondo;1187;2985,26;-3,019026823;43,1615513
Araba/Álava;Oyón-Oion;3408;4517,7474;-2,436788;42,506067
Araba/Álava;Peñacerrada-Urizaharra;310;6215,43;-2,71402821;42,64417512
Araba/Álava;Erriberagoitia/Ribera Alta;820;11981,85;-2,91080642;42,80074682
Araba/Álava;Erriberabeitia;1416;2531,46;-2,91704002;42,71339792
Araba/Álava;Añana;156;2192,3285;-2,98601634;42,8012318
Araba/Álava;Agurain/Salvatierra;5069;3776,9884;-2,389753;42,850452
Araba/Álava;Samaniego;311;1057,8;-2,67904862;42,56735197
Araba/Álava;San Millán/Donemiliaga;718;8540,58;-2,37748902;42,87382571
Araba/Álava;Urkabustaiz;1408;6084,96;-2,90661046;42,95304046
Araba/Álava;Valdegovía/Gaubea;1097;23823,44;-3,09884417;42,84756896
Araba/Álava;Harana/Valle de Arana;226;3912,1857;-2,33104687;42,75289194
Araba/Álava;Villabuena de Álava/Eskuernaga;291;847,9289;-2,66452938;42,54857804
Araba/Álava;Legutio;2017;4584,92;-2,64255929;42,9798744
Araba/Álava;Vitoria-Gasteiz;253672;27698,39;-2,67275685;42,85058789
Araba/Álava;Yécora/Iekora;247;1880,2483;-2,4700849;42,56923117
Araba/Álava;Zalduondo;195;1187,86;-2,34650825;42,88580971
Araba/Álava;Zambrana;425;3957,05;-2,87806502;42,66112968
Araba/Álava;Zuia;2330;12257,74;-2,81862854;42,95597763
Araba/Álava;Iruña Oka/Iruña de Oca;3551;5323,5;-2,8147543;42,81819126
Araba/Álava;Lantarón;931;6745,49;-2,96649719;42,71657557
Albacete;Abengibre;739;3076,9225;-1,54384487;39,2100078
Albacete;Alatoz;496;6385,36;-1,36097604;39,09494843
Albacete;Albacete;172357;112698,96;-1,85574745;38,99588053
Albacete;Albatana;670;3052,82;-1,52275248;38,5708754
Albacete;Alborea;663;7186,76;-1,39670449;39,27835442
Albacete;Alcadozo;634;9958,7;-1,9802275;38,6489758
Albacete;Alcalá del Júcar;1148;14682,4446;-1,42932697;39,1932018
Albacete;Alcaraz;1307;37087,91;-2,49034957;38,66425104
Albacete;Almansa;24224;53240,79;-1,09414681;38,86968811
Albacete;Alpera;2245;17837,79;-1,23080245;38,95969094
Albacete;Ayna;582;14658,96;-2,07053831;38,55217746
Albacete;Balazote;2388;6515,3733;-2,15096732;38,88396156
Albacete;Balsa de Ves;126;7589,23;-1,19650012;39,26461253
Albacete;El Ballestero;427;13869,3693;-2,45508633;38,84252196
Albacete;Barrax;1831;18977,03;-2,20045637;39,0456106
Albacete;Bienservida;574;9072,54;-2,61184243;38,51602097
Albacete;Bogarra;756;16601,4619;-2,21253636;38,58025427
Albacete;Bonete;1006;12553,48;-1,34830324;38,86950589
Albacete;El Bonillo;2698;50286,73;-2,54023691;38,95012362
Albacete;Carcelén;483;7536,3731;-1,30876708;39,10231176
Albacete;Casas de Juan Núñez;1356;8898,2779;-1,55799035;39,10160749
Albacete;Casas de Lázaro;321;11231,6773;-2,23922378;38,7705758
Albacete;Casas de Ves;561;12540,85;-1,33454992;39,25946122
Albacete;Casas-Ibáñez;4547;10325,14;-1,47129143;39,28701686
Albacete;Caudete;10135;14123,86;-0,9886912;38,70573009
Albacete;Cenizate;1183;6326,0153;-1,66113349;39,30332101
Albacete;Corral-Rubio;300;9475,5686;-1,4608525;38,83500072
Albacete;Cotillas;129;1446,9288;-2,50574545;38,43135915
Albacete;Chinchilla de Monte-Aragón;4497;67927,33;-1,72602643;38,9210968
Albacete;Elche de la Sierra;3553;23949,4125;-2,04781376;38,44790893
Albacete;Férez;614;12615,86;-2,00953934;38,35567013
Albacete;Fuensanta;281;2411,25;-2,06725219;39,24466001
Albacete;Fuente-Álamo;2461;13337,12;-1,43170411;38,69314229
Albacete;Fuentealbilla;1821;10829,379;-1,54879364;39,26773579
Albacete;La Gineta;2568;13713,52;-1,99784496;39,11387916
Albacete;Golosalvo;98;2817,6676;-1,63626863;39,23996013
Albacete;Hellín;30492;77929,12;-1,70344921;38,51218953
Albacete;La Herrera;304;6342,58;-2,12637236;38,9621774
Albacete;Higueruela;1125;20545,4904;-1,44535609;38,96455026
Albacete;Hoya-Gonzalo;561;11457,4972;-1,55687053;38,95787352
Albacete;Jorquera;350;6794,01;-1,52061391;39,17457441
Albacete;Letur;901;26440,16;-2,10096881;38,36632081
Albacete;Lezuza;1300;36061,17;-2,35387427;38,94878996
Albacete;Liétor;1096;31318,96;-1,95479319;38,54083745
Albacete;Madrigueras;4644;7334,55;-1,7997012;39,23680339
Albacete;Mahora;1430;10814,91;-1,72481837;39,21303088
Albacete;Masegoso;114;10387,0257;-2,31511768;38,71877813
Albacete;Minaya;1442;6998,11;-2,31961973;39,27118701
Albacete;Molinicos;837;14358,8298;-2,23898151;38,46778179
Albacete;Montalvos;88;2466,13;-2,02769341;39,16721439
Albacete;Montealegre del Castillo;2056;17741,17;-1,32487672;38,78717469
Albacete;Motilleja;660;2382,44;-1,79025762;39,17948885
Albacete;Munera;3422;23053,83;-2,4830388;39,03954575
Albacete;Navas de Jorquera;528;4225,9722;-1,7189485;39,28099513
Albacete;Nerpio;1180;43674,2;-2,30224029;38,14824043
Albacete;Ontur;1934;5440,9;-1,49888166;38,61472661
Albacete;Ossa de Montiel;2215;24370,76;-2,74272664;38,96201035
Albacete;Paterna del Madera;329;11233,8382;-2,34555766;38,59729435
Albacete;Peñascosa;323;18925,8047;-2,41040499;38,67153536
Albacete;Peñas de San Pedro;1433;15876,06;-2,00212787;38,72688881
Albacete;Pétrola;663;7460,7346;-1,55549981;38,82629814
Albacete;Povedilla;388;4942,7325;-2,60393627;38,70163971
Albacete;Pozohondo;1569;13642,45;-1,91133356;38,721122
Albacete;Pozo-Lorente;391;8098,71;-1,50647855;39,07663024
Albacete;Pozuelo;461;13397,79;-2,10117384;38,80969625
Albacete;La Recueja;221;2973,9107;-1,48988779;39,17688319
Albacete;Riópar;1318;8100,28;-2,41839311;38,4998099
Albacete;Robledo;385;12008,4392;-2,44882682;38,75778452
Albacete;La Roda;15497;39788,07;-2,15924796;39,20706504
Albacete;Salobre;438;4952,8648;-2,55057256;38,59195258
Albacete;San Pedro;1142;8311,597;-2,186211;38,82654004
Albacete;Socovos;1743;13912,13;-1,98469065;38,33202632
Albacete;Tarazona de la Mancha;6183;21267,16;-1,91280979;39,26539647
Albacete;Tobarra;7758;32521,78;-1,69282296;38,5922733
Albacete;Valdeganga;1919;7065,62;-1,67646922;39,13545152
Albacete;Vianos;313;12805,18;-2,50149079;38,632307
Albacete;Villa de Ves;60;5775,64;-1,25897631;39,22231541
Albacete;Villalgordo del Júcar;1072;4668,4938;-2,06309183;39,29598679
Albacete;Villamalea;4000;12832,89;-1,59908353;39,36160785
Albacete;Villapalacios;555;8747,7445;-2,63505947;38,57467359
Albacete;Villarrobledo;24886;86239,48;-2,60714311;39,26755792
Albacete;Villatoya;106;1867,36;-1,33858599;39,33385264
Albacete;Villavaliente;202;3484,1712;-1,45799642;39,12645758
