Provincia;Nombre1;Poblacion;Superficie;Longitud;Latitud;Nombre2
Araba/Álava;Alegría-Dulantzi;2960;1994,5872;-2,51243731;42,83981158;Alegría-Dulantzi
Araba/Álava;Amurrio;10281;9629,68;-3,00007326;43,05427776;Amurrio
Araba/Álava;Aramaio;1431;7302,1;-2,56540037;43,05119653;Aramaio
Araba/Álava;Artziniega;1810;2728,73;-3,12791718;43,12084358;Artziniega
Araba/Álava;Armiñón;235;1297,27;-2,87183475;42,72326199;Armiñón
Araba/Álava;Arratzua-Ubarrundia;1031;5755,98;-2,63878816;42,89116171;Arratzua-Ubarrundia
Araba/Álava;Asparrena;1637;6533,64;-2,31670754;42,88968768;Asparrena
Araba/Álava;Ayala;2921;14096,94;-3,04306746;43,07768283;Aiara
Araba/Álava;Baños de Ebro;296;950,39;-2,67863583;42,52925602;Mañueta
Araba/Álava;Barrundia;914;9742,34;-2,49407452;42,91537538;Barrundia
Araba/Álava;Berantevilla;452;3574,75;-2,85971414;42,68227191;Berantevilla
Araba/Álava;Bernedo;560;13048,2;-2,49825439;42,62676989;Bernedo
Araba/Álava;Campezo;1094;8536,0875;-2,35207693;42,66971209;Kanpezu
Araba/Álava;Zigoitia;1822;10209,12;-2,73033002;42,96210609;Zigoitia
Araba/Álava;Kripan;176;1251,599;-2,51621636;42,59082439;Kripan
Araba/Álava;Kuartango;421;8431,96;-2,88438243;42,87006411;Kuartango
Araba/Álava;Elburgo;629;3209,3031;-2,545933;42,850282;Burgelu
Araba/Álava;Elciego;971;1625,58;-2,61723872;42,51420738;Elciego
Araba/Álava;Elvillar;316;1750,2228;-2,54441267;42,56842577;Bilar
Araba/Álava;Iruraiz-Gauna;537;4712,8628;-2,475996232;42,83131017;Iruraiz-Gauna
Araba/Álava;Labastida;1538;3810,73;-2,793199;42,590217;Bastida
Araba/Álava;Lagrán;175;4562,02;-2,58423377;42,62621464;Lagrán
Araba/Álava;Laguardia;1483;8093,55;-2,58411693;42,55236655;Laguardia
Araba/Álava;Lanciego;724;2425,3;-2,51278162;42,5624416;Lantziego
Araba/Álava;Lapuebla de Labarca;870;605;-2,57209001;42,49441468;Lapuebla de Labarca
Araba/Álava;Leza;217;992,2543;-2,63459428;42,56469687;Leza
Araba/Álava;Laudio;17906;3773,43;-2,96256495;43,1425188;Llodio
Araba/Álava;Arraia-Maeztu;804;12310,7942;-2,444299;42,738527;Arraia-Maeztu
Araba/Álava;Moreda de Álava;216;867,1106;-2,40841718;42,52479167;Moreda Araba
Araba/Álava;Navaridas;200;891,6398;-2,62479544;42,5450594;Navaridas
Araba/Álava;Okondo;1187;2985,26;-3,019026823;43,1615513;Okondo
Araba/Álava;Oyón-Oion;3408;4517,7474;-2,436788;42,506067;Oyón-Oion
Araba/Álava;Peñacerrada-Urizaharra;310;6215,43;-2,71402821;42,64417512;Peñacerrada-Urizaharra
Araba/Álava;Erriberagoitia;820;11981,85;-2,91080642;42,80074682;Ribera Alta
Araba/Álava;Erriberabeitia;1416;2531,46;-2,91704002;42,71339792;Erriberabeitia
Araba/Álava;Añana;156;2192,3285;-2,98601634;42,8012318;Añana
Araba/Álava;Agurain;5069;3776,9884;-2,389753;42,850452;Salvatierra
Araba/Álava;Samaniego;311;1057,8;-2,67904862;42,56735197;Samaniego
Araba/Álava;San Millán;718;8540,58;-2,37748902;42,87382571;Donemiliaga
Araba/Álava;Urkabustaiz;1408;6084,96;-2,90661046;42,95304046;Urkabustaiz
Araba/Álava;Valdegovía;1097;23823,44;-3,09884417;42,84756896;Gaubea
Araba/Álava;Harana;226;3912,1857;-2,33104687;42,75289194;Valle de Arana
Araba/Álava;Villabuena de Álava;291;847,9289;-2,66452938;42,54857804;Eskuernaga
Araba/Álava;Legutio;2017;4584,92;-2,64255929;42,9798744;Legutio
Araba/Álava;Vitoria-Gasteiz;253672;27698,39;-2,67275685;42,85058789;Vitoria-Gasteiz
Araba/Álava;Yécora;247;1880,2483;-2,4700849;42,56923117;Iekora
Araba/Álava;Zalduondo;195;1187,86;-2,34650825;42,88580971;Zalduondo
Araba/Álava;Zambrana;425;3957,05;-2,87806502;42,66112968;Zambrana
Araba/Álava;Zuia;2330;12257,74;-2,81862854;42,95597763;Zuia
Araba/Álava;Iruña Oka;3551;5323,5;-2,8147543;42,81819126;Iruña de Oca
Araba/Álava;Lantarón;931;6745,49;-2,96649719;42,71657557;Lantarón
Albacete;Abengibre;739;3076,9225;-1,54384487;39,2100078;Abengibre
Albacete;Alatoz;496;6385,36;-1,36097604;39,09494843;Alatoz
Albacete;Albacete;172357;112698,96;-1,85574745;38,99588053;Albacete
Albacete;Albatana;670;3052,82;-1,52275248;38,5708754;Albatana
Albacete;Alborea;663;7186,76;-1,39670449;39,27835442;Alborea
Albacete;Alcadozo;634;9958,7;-1,9802275;38,6489758;Alcadozo
Albacete;Alcalá del Júcar;1148;14682,4446;-1,42932697;39,1932018;Alcalá del Júcar
Albacete;Alcaraz;1307;37087,91;-2,49034957;38,66425104;Alcaraz
Albacete;Almansa;24224;53240,79;-1,09414681;38,86968811;Almansa
Albacete;Alpera;2245;17837,79;-1,23080245;38,95969094;Alpera
Albacete;Ayna;582;14658,96;-2,07053831;38,55217746;Ayna
Albacete;Balazote;2388;6515,3733;-2,15096732;38,88396156;Balazote
Albacete;Balsa de Ves;126;7589,23;-1,19650012;39,26461253;Balsa de Ves
Albacete;El Ballestero;427;13869,3693;-2,45508633;38,84252196;El Ballestero
Albacete;Barrax;1831;18977,03;-2,20045637;39,0456106;Barrax
Albacete;Bienservida;574;9072,54;-2,61184243;38,51602097;Bienservida
Albacete;Bogarra;756;16601,4619;-2,21253636;38,58025427;Bogarra
Albacete;Bonete;1006;12553,48;-1,34830324;38,86950589;Bonete
Albacete;El Bonillo;2698;50286,73;-2,54023691;38,95012362;El Bonillo
Albacete;Carcelén;483;7536,3731;-1,30876708;39,10231176;Carcelén
Albacete;Casas de Juan Núñez;1356;8898,2779;-1,55799035;39,10160749;Casas de Juan Núñez
Albacete;Casas de Lázaro;321;11231,6773;-2,23922378;38,7705758;Casas de Lázaro
Albacete;Casas de Ves;561;12540,85;-1,33454992;39,25946122;Casas de Ves
Albacete;Casas-Ibáñez;4547;10325,14;-1,47129143;39,28701686;Casas-Ibáñez
Albacete;Caudete;10135;14123,86;-0,9886912;38,70573009;Caudete
Albacete;Cenizate;1183;6326,0153;-1,66113349;39,30332101;Cenizate
Albacete;Corral-Rubio;300;9475,5686;-1,4608525;38,83500072;Corral-Rubio
Albacete;Cotillas;129;1446,9288;-2,50574545;38,43135915;Cotillas
Albacete;Chinchilla de Monte-Aragón;4497;67927,33;-1,72602643;38,9210968;Chinchilla de Monte-Aragón
Albacete;Elche de la Sierra;3553;23949,4125;-2,04781376;38,44790893;Elche de la Sierra
Albacete;Férez;614;12615,86;-2,00953934;38,35567013;Férez
Albacete;Fuensanta;281;2411,25;-2,06725219;39,24466001;Fuensanta
Albacete;Fuente-Álamo;2461;13337,12;-1,43170411;38,69314229;Fuente-Álamo
Albacete;Fuentealbilla;1821;10829,379;-1,54879364;39,26773579;Fuentealbilla
Albacete;La Gineta;2568;13713,52;-1,99784496;39,11387916;La Gineta
Albacete;Golosalvo;98;2817,6676;-1,63626863;39,23996013;Golosalvo
Albacete;Hellín;30492;77929,12;-1,70344921;38,51218953;Hellín
Albacete;La Herrera;304;6342,58;-2,12637236;38,9621774;La Herrera
Albacete;Higueruela;1125;20545,4904;-1,44535609;38,96455026;Higueruela
Albacete;Hoya-Gonzalo;561;11457,4972;-1,55687053;38,95787352;Hoya-Gonzalo
Albacete;Jorquera;350;6794,01;-1,52061391;39,17457441;Jorquera
Albacete;Letur;901;26440,16;-2,10096881;38,36632081;Letur
Albacete;Lezuza;1300;36061,17;-2,35387427;38,94878996;Lezuza
